	TrackID: 	01
	ArbritaryUnit	Time	Deformation	Intensity	IntensitySec	Distance-Deformation
	0	1	0.003	110.629	110.629	561.176
	0	2	0.003	111.579	111.579	560.443
	1	1	0.003	108.969	108.969	560.273
	1	2	0.003	109.34	109.34	559.589
	2	1	0.003	107.428	107.428	559.375
	2	2	0.003	107.145	107.145	558.741
	3	1	0.003	106.082	106.082	558.483
	3	2	0.003	105.119	105.119	557.899
	4	1	0.003	104.969	104.969	557.596
	4	2	0.003	103.233	103.233	557.062
	5	1	0.003	104.094	104.094	556.716
	5	2	0.003	101.679	101.679	556.232
	6	1	0.003	103.522	103.522	555.841
	6	2	0.003	100.365	100.365	555.408
	7	1	0.003	103.22	103.22	554.972
	7	2	0.003	99.327	99.327	554.589
	8	1	0.003	103.283	103.283	554.109
	8	2	0.003	98.692	98.692	553.777
	9	1	0.003	103.56	103.56	553.252
	9	2	0.003	98.409	98.409	552.97
	10	1	0.003	104.044	104.044	552.401
	10	2	0.003	98.472	98.472	552.17
	11	1	0.003	104.799	104.799	551.556
	11	2	0.003	98.931	98.931	551.376
	12	1	0.003	105.736	105.736	550.716
	12	2	0.003	99.673	99.673	550.588
	13	1	0.003	106.836	106.836	549.883
	13	2	0.003	100.836	100.836	549.806
	14	1	0.003	107.962	107.962	549.056
	14	2	0.003	102.371	102.371	549.03
	15	1	0.003	109.069	109.069	548.235
	15	2	0.003	104.157	104.157	548.26
	16	1	0.003	110.082	110.082	547.419
	16	2	0.003	106.082	106.082	547.497
	17	1	0.003	110.862	110.862	546.61
	17	2	0.003	107.975	107.975	546.74
	18	1	0.003	111.39	111.39	545.807
	18	2	0.003	109.881	109.881	545.989
	19	1	0.003	111.811	111.811	545.011
	19	2	0.003	111.597	111.597	545.244
	20	1	0.003	111.887	111.887	544.22
	20	2	0.002	112.987	112.987	544.506
	21	1	0.003	111.623	111.623	543.436
	21	2	0.002	114.075	114.075	543.774
	22	1	0.003	111.038	111.038	542.657
	22	2	0.002	114.83	114.83	543.049
	23	1	0.003	110.208	110.208	541.885
	23	2	0.002	115.208	115.208	542.33
	24	1	0.003	109.208	109.208	541.12
	24	2	0.002	115.252	115.252	541.617
	25	1	0.003	108.044	108.044	540.361
	25	2	0.002	114.962	114.962	540.911
	26	1	0.003	106.66	106.66	539.608
	26	2	0.002	114.308	114.308	540.211
	27	1	0.003	105.201	105.201	538.861
	27	2	0.002	113.34	113.34	539.518
	28	1	0.003	103.755	103.755	538.121
	28	2	0.002	112.138	112.138	538.831
	29	1	0.003	102.472	102.472	537.387
	29	2	0.002	110.723	110.723	538.151
	30	1	0.003	101.214	101.214	536.66
	30	2	0.002	109.22	109.22	537.477
	31	1	0.003	100.239	100.239	535.939
	31	2	0.002	107.616	107.616	536.811
	32	1	0.003	99.491	99.491	535.225
	32	2	0.002	106.119	106.119	536.15
	33	1	0.002	99.075	99.075	534.517
	33	2	0.002	104.786	104.786	535.497
	34	1	0.002	98.899	98.899	533.816
	34	2	0.002	103.717	103.717	534.85
	35	1	0.002	98.95	98.95	533.121
	35	2	0.002	102.931	102.931	534.209
	36	1	0.002	99.27	99.27	532.433
	36	2	0.002	102.421	102.421	533.576
	37	1	0.002	99.836	99.836	531.752
	37	2	0.002	102.27	102.27	532.949
	38	1	0.002	100.623	100.623	531.077
	38	2	0.002	102.27	102.27	532.329
	39	1	0.002	101.459	101.459	530.409
	39	2	0.002	102.516	102.516	531.716
	40	1	0.002	102.358	102.358	529.747
	40	2	0.002	102.736	102.736	531.109
	41	1	0.002	103.239	103.239	529.093
	41	2	0.002	102.887	102.887	530.51
	42	1	0.002	104.189	104.189	528.445
	42	2	0.002	103.082	103.082	529.917
	43	1	0.002	105.132	105.132	527.804
	43	2	0.002	103.17	103.17	529.331
	44	1	0.002	106.132	106.132	527.169
	44	2	0.002	103.094	103.094	528.753
	45	1	0.002	107.321	107.321	526.542
	45	2	0.002	102.918	102.918	528.181
	46	1	0.002	108.365	108.365	525.921
	46	2	0.002	102.723	102.723	527.616
	47	1	0.002	108.057	108.057	523.403
	47	2	0.002	101.44	101.44	525.136
	48	1	0.002	109.189	109.189	522.794
	48	2	0.002	101.151	101.151	524.583
	49	1	0.002	108.616	108.616	520.284
	49	2	0.002	100.95	100.95	524.038
	50	1	0.002	109.767	109.767	519.687
	50	2	0.002	100.805	100.805	523.499
	51	1	0.002	108.969	108.969	517.185
	51	2	0.002	99.289	99.289	521.038
	52	1	0.002	110.006	110.006	516.6
	52	2	0.002	99.245	99.245	520.512
	53	1	0.002	125.717	125.717	486.904
	53	2	0.002	99.333	99.333	519.992
	54	1	0.002	123.119	123.119	486.331
	54	2	0.002	99.535	99.535	519.48
	55	1	0.003	120.201	120.201	485.766
	55	2	0.002	99.78	99.78	518.975
	56	1	0.002	116.868	116.868	485.209
	56	2	0.002	99.013	99.013	516.539
